model	true_prevalence	average_prediction	calibration_oe	calibration_slope	auc
phat0	0.195001	0.24433338039278146	0.7980939799814643	0.4933535213137246	0.6987344444175037
phat1	0.195001	0.19995581490260383	0.9752204510530627	0.9237971019077379	0.7494240779220378
