setting_id	event_rate	average_prediction	calibration_oe	calibration_slope	concordance	n
1	0.891293	0.8909542200853476	1.0003802439081773	0.989550728153173	0.6185484618083782	1000000
2	0.800787	0.799857842976535	1.0011616527006941	0.9877608976809057	0.6185176444969633	1000000
3	0.504288	0.5041574914787814	1.0002588645878012	0.9877259527192085	0.6195657704354923	1000000
4	0.896693	0.8484910245507395	1.0568090575557738	0.8015831784295395	0.8889533042706985	1000000
5	0.790373	0.7465999309374984	1.0586298863000645	0.7992570250361264	0.8922270402695125	1000000
6	0.491068	0.4944078224269924	0.9932448026194295	0.8001123033713072	0.9050637603302123	1000000
7	0.89682	0.8459179271285016	1.060173772465477	0.800302885775214	0.9497329724044052	1000000
8	0.808801	0.7585719032320862	1.0662153403703725	0.8009829010950528	0.9518211622058415	1000000
9	0.525158	0.5198950786176122	1.0101230452043934	0.8006762431245158	0.9605493583516069	1000000
