model	true_prevalence	average_prediction	calibration_oe	calibration_slope	auc
phat0	0.1947335	0.24402510168118616	0.7980060192922914	0.4946126213047485	0.6990182627535234
phat1	0.1947335	0.19986707737113973	0.9743150425839918	0.9240545161681883	0.7494850273584043
