"pred","outcome"
0.0516666718,0
0.8406713741,1
0.2164488634,1
0.0340331917,0
0.00510587019999997,0
0.9081476357,0
0.1370452467,0
0.1081154885,0
0.8835877479,1
0.0565354968,0
0.0264661979,0
0.6381376617,1
0.4866226257,1
0.00369299170000004,0
0.031691094,0
0.0169048294,0
0.208971018,1
0.1496266557,0
0.0104512778,0
0.0391875422,0
0.1064568221,0
0.3306992082,1
0.7656072579,0
0.2150085173,0
0.0108187235,0
0.0118616685,0
0.2391349824,1
0.1432634127,0
0.0278677426,1
0.6667980453,1
0.9403936896,1
0.3703364355,1
0.6256800554,1
0.0543654609000001,0
0.0208861371,0
0.1577045629,0
0.0135544382,0
0.0143997364,0
0.0215252717,0
0.0157410003,1
0.9782363617,1
0.1025462739,0
0.6816758326,1
0.0124266195,0
0.6185581999,0
0.6832169249,1
0.3299408414,0
0.0289027862,0
0.455363088,1
0.0305180856,0
0.5297336143,1
0.0204145345,0
0.0196575530999999,0
0.6060992407,0
0.026193103,0
0.3655379165,1
0.6250998667,0
0.0199504581,0
0.3640454132,1
0.036402215,0
0.00767101189999997,0
0.0181604961,0
0.00394826709999996,0
0.0210809721,0
0.0782269379,0
0.0160838608,0
0.1250154526,0
0.0161377995999999,0
0.35109019,1
0.1484438028,0
0.6322291664,1
0.4575706165,1
0.0166561448,0
0.0431667793,0
0.0152047473,0
0.0268572278,0
0.0597357693,0
0.9637374475,1
0.0284127782,0
0.772221733,1
0.9426884347,1
0.0187703215,0
0.1447800705,0
0.0269598156,1
0.00755489320000002,0
0.00544849609999998,0
0.0125600758,0
0.2870826583,1
0.0659208981,0
0.0144420698,0
0.00734284490000003,0
0.00718215609999995,0
0.2768042847,0
0.0214984537,0
0.0159245205,0
0.0992871097,0
0.0115627642,1
0.3095475288,0
0.0114181929,1
0.00953450980000004,1
0.0120276737,0
0.3452737906,1
0.1335979773,1
0.1584554318,0
0.00698495040000002,0
0.5493006418,1
0.0229930077,0
0.00756162650000003,0
